Rk,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,NetRtg,ORtg,DRtg,NetRtg
132,Troy,SB,20-12,+3.65,107.2,103.5,69.8,-.052,-1.87,105.2,107.1,+0.83
133,Arkansas St.,SB,20-17,+3.40,113.4,110.0,68.1,-.022,+0.20,106.7,106.5,+2.25
134,Youngstown St.,Horz,22-10,+3.02,108.3,105.3,69.0,-.022,-4.17,105.2,109.4,+1.16
135,Western Kentucky 15,CUSA,22-12,+2.90,105.4,102.5,75.3,-.036,-2.07,104.0,106.1,-3.00
136,Tulane,Amer,14-17,+2.73,110.8,108.0,72.8,-.086,+3.40,108.0,104.6,-3.43
137,Liberty,CUSA,18-14,+2.73,109.2,106.5,64.7,-.052,+0.05,104.3,104.3,+3.12
138,South Dakota St. 15,Sum,22-13,+2.69,108.8,106.1,68.0,-.013,-2.05,105.7,107.7,+2.76
139,Toledo,MAC,20-12,+2.55,112.7,110.1,69.4,+.004,-1.59,105.2,106.8,+4.95
140,Chattanooga,SC,21-12,+2.52,110.4,107.9,67.1,+.027,-2.08,105.2,107.3,-4.36
141,Furman,SC,17-16,+2.37,109.9,107.6,68.9,-.068,+0.78,107.4,106.6,+2.08
142,Sam Houston St.,CUSA,21-12,+2.27,106.0,103.7,67.6,+.066,-0.20,104.2,104.4,+2.82
143,Ohio,MAC,20-13,+2.13,109.1,106.9,67.5,-.096,-4.58,103.8,108.4,-2.84
144,West Virginia,B12,9-23,+1.94,108.3,106.4,68.5,-.009,+11.87,111.7,99.8,+2.81
145,Missouri,SEC,8-24,+1.79,108.4,106.6,66.7,-.137,+9.94,112.5,102.5,-1.29
146,Towson,CAA,20-14,+1.77,103.5,101.7,62.3,+.012,-1.19,106.5,107.7,+1.53
147,UNC Greensboro,SC,21-11,+1.74,109.2,107.5,64.9,+.070,-0.73,106.1,106.8,-0.50
148,St. Thomas,Sum,20-13,+1.71,107.6,105.9,63.1,-.087,-5.02,104.6,109.6,-3.85
149,Missouri St.,MVC,17-16,+1.61,104.5,102.9,67.9,+.022,+2.36,107.3,104.9,-3.32
150,Colgate 14,Pat,25-10,+1.50,104.8,103.3,66.4,+.068,-6.51,102.3,108.8,+6.36
151,Louisiana,SB,19-14,+1.40,105.9,104.5,68.8,-.017,-0.76,106.4,107.2,+1.74
152,Eastern Washington,BSky,21-11,+1.35,112.0,110.7,70.6,+.072,-1.71,105.8,107.5,+8.94
153,UMass Lowell,AE,22-10,+1.31,106.2,104.9,70.2,-.004,-4.27,102.1,106.3,-3.13
